requirement_ru,stack,skills
"Уверенное владение скриптовыми языками Bash, CMD, Powershell",,"bash|cmd|powershell"
"Уверенное владение Python + Django",,"python|django"
"Опыт работы с Ansible. Уверенное написание плейбуков, ролей, кофигурация шаблонов",,"ansible"
"Умение настраивать мониторинг (Prometheus/Grafana/Zabbix/ELK)",,"prometheus|grafana|zabbix|elk"
"Знание, опыт настройки и администрирования Web-серверов (Apache, Nginx)",,"apache|nginx"
"Опыт администрирования с RedHat 7/8, Ubuntu 18/20, Windows Server 2012+",,"redhat|ubuntu|windows server"
"Опыт участия во внедрении систем уровня 1C:ERP (желательно на предприятиях пищевой промышленности и/или общепита)",,"1c:erp"
"Знание функциональности ERP в части пооперационного учета производства",,"erp"
"Экспертное знание Java Spring",,"java spring"
"Опыт проектирования и работы с реляционными базами данных (особенно PostgreSQL)",,"postgresql"
"Опыт написания юнит и интеграционных тестов",,"unit tests|integration- tests"
"Понимание принципов разработки RESTful API и работы с серверной архитектурой",,"restful api"
"Опыт работы с система контейниризации (Docker / Kubernetes)",,"docker|kubernetes"
"Понимание основ DevOps (CI/CD)",,"devops|ci/cd"
"Хороший опыт минимум в одном из пунктов - Golang/Frontend (react + typescript) и сильное желание разбираться в другом",,"golang|react|typescript"
